코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,과거 PCR,낮은순서(값>0)  (비중 5),발표 PSR,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),발표 POR,낮은순서(값>0)  (비중 5),거래대금 증가율(20일대비),높은순서  (비중 30)
A251370,와이엠티,IT 장비 및 소재,PCB,80.01,79,15.73,412,2.97,561,3.34,599,23.86,476,14.43,332,330.96,8
A025000,KPX케미칼,화학,기타 화학,79.87,80,5.26,132,0.4,103,0.6,84,5.52,82,4.77,54,-23.12,331
A012620,원일특강,철강 및 비철강,제강,79.84,81,5.32,138,0.25,43,0.54,61,4.93,64,11.19,236,-20.18,317
A005180,빙그레,식음료,음료,79.8,82,9.39,272,0.65,189,1.13,240,116.79,663,18.82,412,36.97,112
A356860,티엘비,반도체 관련장비 및 부품,종합 반도체,79.78,83,51.57,616,1.41,379,2.55,495,22.96,457,26.17,490,691.9,2
A234080,JW생명과학,제약 및 바이오,제약,79.7,84,6.93,195,1.67,421,2.33,463,12.98,299,7.82,143,16.57,156
A084010,대한제강,철강 및 비철강,제강,79.66,85,2.72,48,0.43,117,1.05,219,6.49,110,6.26,94,-19.81,312
A317770,슈프리마아이디,IT 장비 및 소재,카메라모듈,79.66,85,15.08,399,6.32,699,1.47,312,16.15,365,50,577,196.4,18
A094280,효성ITX,IT서비스,컨택센터,79.59,87,7.1,202,0.52,141,3.45,615,19.02,407,14.32,328,29.95,129
A089600,나스미디어,미디어 및 엔터,광고,79.43,88,9.4,273,3.51,596,2.4,471,19.48,412,13.95,321,79.29,68
A005500,삼진제약,제약 및 바이오,제약,79.43,88,22.55,495,1.66,420,1.84,383,14.21,325,13.19,300,48.45,93
A181710,NHN,미디어 및 엔터,게임,79.43,88,7.27,211,0.87,249,0.89,175,19.45,411,14.65,337,10.37,183
A000320,노루홀딩스,지주사,지주사,79.2,91,3.29,66,0.23,37,0.54,61,25.59,486,5.26,58,-16.99,299
A004490,세방전지,자동차 및 관련부품,배터리,79.19,92,8.62,250,1.17,324,1.29,277,11.81,268,15.42,358,13.65,171
A123420,선데이토즈,미디어 및 엔터,게임,79,93,18.95,452,2.28,504,1.6,340,18.03,392,19.1,418,72.14,69
A008730,율촌화학,종이 및 용기,용기 및 포장재,78.99,94,9.47,274,1.05,290,1.62,347,40.18,565,25.08,481,47.73,94
A001270,부국증권,금융,증권,78.97,95,0.26,1,1.16,320,0.45,39,2.93,22,2.91,17,-25.58,354
A032830,삼성생명,금융,생명보험,78.81,96,5.06,121,0.9,253,0.41,27,3.72,35,5.88,80,-23.89,337
A035600,KG이니시스,IT서비스,전자결제,78.7,97,2.81,50,0.73,214,1.89,397,9.95,205,6.24,92,-10.88,265
A048260,오스템임플란트,의료기기 및 용품,의료용품,78.54,98,7.99,228,2.1,479,7.06,792,21.81,444,11.82,259,93.42,60
A131390,원익피앤이,IT 장비 및 소재,2차전지,78.47,99,8.43,242,2.06,469,2.89,539,21.54,436,16.32,379,58.07,84
A015760,한국전력,유틸리티,전력,78.3,100,1.25,14,0.29,58,0.25,3,49.99,589,4.05,36,-19.95,314
A145720,덴티움,의료기기 및 용품,의료용품,78.07,101,7.81,222,2.96,559,3.01,556,20.98,429,15.29,353,60.52,81
A086280,현대글로비스,운송 및 물류,육상운송,78.05,102,11.71,329,0.42,112,1.39,295,13.7,314,10.5,219,-3.51,223
A001800,오리온홀딩스,지주사,지주사,78.04,103,2.97,56,0.48,130,0.56,65,13.85,315,3.58,26,-23.84,336
A192080,더블유게임즈,미디어 및 엔터,게임,77.89,104,5.82,160,1.75,438,1.65,354,9.19,188,5.82,77,-5.74,234
A136490,선진,식음료,사료,77.71,105,3.06,61,0.29,58,1.08,228,7.53,142,3.74,31,-25.5,353
A064550,바이오니아,제약 및 바이오,바이오,77.69,106,4.1,90,1.87,449,2.85,532,7.54,143,3.69,28,-5.63,233
A011210,현대위아,자동차 및 관련부품,엔진부품,77.55,107,5.31,136,0.36,86,0.77,132,19.71,417,164.64,687,4.47,199
A054050,농우바이오,식음료,식료품,77.52,108,40.98,588,1.7,424,0.92,188,11.33,253,87.84,650,50.01,92
A084650,랩지노믹스,제약 및 바이오,바이오,77.44,109,5.65,152,1.88,453,2.81,528,4.97,67,3.95,34,-5.85,238
A043150,바텍,의료기기 및 용품,의료기기,77.24,110,9.31,268,2.15,485,2.42,473,10.75,234,14.84,345,21.24,146
A053800,안랩,IT서비스,소프트웨어,77.22,111,18.01,441,3.91,619,3.11,571,10,208,34.17,531,104.05,52
A119860,다나와,유통,전자상거래,77.2,112,9.51,277,1.71,428,2.86,534,12.75,292,10.41,211,16.55,157
A131290,티에스이,반도체 관련장비 및 부품,반도체장비,77.11,113,20.16,471,2.24,499,3.19,581,15.19,342,15.38,355,66.09,74
A187870,디바이스이엔지,디스플레이 장비 및 부품,디스플레이 부품,77.1,114,4.44,103,1.7,424,2.44,480,5.75,91,4.71,53,-9.63,257
A064350,현대로템,기계,중장비 및 관련품,77.04,115,92.35,657,1.03,286,2.07,426,92.04,648,29.5,508,145.82,29
A042660,대우조선해양,조선,조선기자재,76.96,116,13.61,374,0.66,196,1.12,237,-4.35,709,-12.06,722,63.55,78
A251970,펌텍코리아,종이 및 용기,용기 및 포장재,76.88,117,419.46,697,1.42,381,1.56,328,11.06,245,10.33,210,23.44,142
A210980,SK디앤디,일반서비스,부동산,76.81,118,2.58,43,0.75,220,1.3,278,13.33,307,4.57,48,-18.27,304
A001070,대한방직,섬유 및 의류,섬유,76.81,118,-112.42,707,1.29,358,1.7,360,141.16,672,59.79,605,624.77,3
A036800,나이스정보통신,IT서비스,전자결제,76.73,120,4.01,86,0.62,178,1.42,304,10.81,239,8.63,168,-15.28,292
A035420,NAVER,IT서비스,인터넷서비스,76.66,121,46.54,602,11.25,757,2.88,537,1.04,4,52.43,581,127.16,42
A065680,우주일렉트로,IT 장비 및 소재,스마트폰 부품,76.53,122,10.84,306,1.28,354,1.28,275,15.78,360,13.17,298,6.91,192
A066130,하츠,건설 및 건축자재,건축자재,76.5,123,21.82,485,1.23,339,1.8,377,11.99,270,14.92,347,16.58,155
A241710,코스메카코리아,가정용품,화장품,76.43,124,22.52,493,0.58,158,1.51,317,25.24,483,20.21,433,22.58,145
A072870,메가스터디,일반서비스,교육,76.19,125,5.66,153,1.3,362,0.62,89,11.26,251,13.46,307,-11.34,269
A243840,신흥에스이씨,IT 장비 및 소재,2차전지,76.06,126,10.55,301,1.31,363,2.7,514,12,271,12.21,271,12.1,178
A060980,한라홀딩스,지주사,지주사,76.01,127,18.62,447,0.59,163,0.51,57,3.66,32,4.27,42,-24.33,342
A036530,SNT홀딩스,지주사,지주사,76.01,127,1.3,15,0.24,40,0.38,20,1.72,10,2.6,14,-35.55,449
A032640,LG유플러스,통신,통신서비스,75.93,129,2.58,43,0.5,134,0.91,184,8.59,174,7.16,123,-25.91,357
A079430,현대리바트,가정용품,가구,75.91,130,5.51,149,0.3,64,0.84,159,13.41,309,12.66,285,-18.76,306
A064960,SNT모티브,자동차 및 관련부품,기타 자동차부품,75.82,131,6.47,185,1.01,281,1.25,267,8.37,163,10.18,204,-14.06,285
A002600,조흥,식음료,식료품,75.8,132,11.03,310,0.53,145,0.88,173,5.17,73,8.43,161,-21.81,325
A264660,씨앤지하이테크,반도체 관련장비 및 부품,반도체장비,75.64,133,32.58,552,0.85,244,1.52,319,13.48,310,7.79,141,0.52,210
A004020,현대제철,철강 및 비철강,제철,75.47,134,3.2,64,0.39,100,0.43,34,8.52,172,17.59,396,-24.86,346
A041910,에스텍파마,제약 및 바이오,원료의약품,75.26,135,56.28,624,2.51,527,1.36,288,15.54,353,18.95,415,38.71,109
A003220,대원제약,제약 및 바이오,제약,75.21,136,35.24,562,1.12,308,1.67,358,-10.47,709,28.93,502,70.9,71
A000670,영풍,철강 및 비철강,아연,75.19,137,13.03,356,0.38,95,0.37,19,5.39,78,30.95,519,-17,300
A347740,피엔케이피부임상연구센타,제약 및 바이오,바이오,75.18,138,24.07,507,12.01,770,3.09,569,22.34,449,26.15,489,243.47,14
A004360,세방,운송 및 물류,육상운송,75.08,139,7.93,226,0.34,77,0.33,11,4.95,66,18.38,403,-25.24,349
A248070,솔루엠,IT 장비 및 소재,스마트폰 부품,75.06,140,20.63,473,1.24,342,5.46,742,30.39,522,23.99,476,102.5,54
A166090,하나머티리얼즈,반도체 관련장비 및 부품,반도체 부품,74.98,141,10.84,306,3.86,617,4.14,668,15.14,340,14.07,325,41.47,105
A000810,삼성화재,금융,손해보험,74.94,142,20.64,474,0.5,134,0.64,93,5.67,88,7.14,121,-22.66,330
A280360,롯데제과,식음료,식료품,74.84,143,4.47,105,0.45,125,0.78,136,15.86,361,7.83,144,-23.92,338
A004560,현대비앤지스틸,철강 및 비철강,스테인리스,74.79,144,7.22,208,0.44,120,0.7,116,4.5,50,6.08,88,-28.4,387
A011170,롯데케미칼,화학,종합 화학,74.7,145,6.25,174,0.7,207,0.69,113,4.54,54,8.63,168,-26.64,366
A034300,신세계건설,건설 및 건축자재,중견건설사,74.65,146,1.67,22,0.18,22,0.87,170,7.36,137,7.1,117,-30.82,408
A085660,차바이오텍,제약 및 바이오,바이오,74.49,147,19.65,465,1.85,447,3.43,611,175.87,681,227.42,697,472.63,5
A017650,대림제지,종이 및 용기,종이,74.36,148,6.57,187,0.92,259,0.68,108,4.44,49,5.84,78,-27.34,377
A091580,상신이디피,IT 장비 및 소재,2차전지,74.17,149,7.26,210,1.1,306,2.29,457,10.03,209,7.77,140,-12.23,273
A000150,두산,지주사,지주사,74.13,150,2.33,35,0.09,3,0.81,146,2.04,13,2.48,13,-36.77,459
A023810,인팩,자동차 및 관련부품,기타 자동차부품,74.05,151,8.21,237,0.37,92,1.52,319,12.42,280,11.03,231,-17.94,302
A069960,현대백화점,유통,백화점,74.01,152,3.74,77,0.83,236,0.49,46,12.03,272,11.22,238,-25.37,351
