코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,시가총액 (억),높은순서  (비중 5),과거 PCR,낮은순서(값>0)  (비중 5),발표 분기 PSR,낮은순서(값>0)  (비중 5),발표 분기 PEG,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),발표 분기 POR,낮은순서(값>0)  (비중 5),거래대금 증가율(5일대비),높은순서  (비중 15),거래대금 증가율(20일대비),높은순서  (비중 15),
A010140,삼성중공업,조선,조선,82.8,72,44037,64,14.47,738,0.7,448,0.01,1,1.32,639,-2.06,1418,-2.17,1369,115.83,124,63.92,244,
A214180,민앤지,IT서비스,보안서비스,82.71,73,2510,789,6.08,290,1.27,801,0.45,968,1.94,989,11.41,452,7.44,246,62.97,258,110.08,165,
A000480,조선내화,철강 및 비철강,광물,82.42,74,3632,560,4.82,191,0.51,298,0.53,1003,0.58,110,39.05,1083,10.39,415,58.22,282,13.38,456,
A001260,남광토건,건설 및 건축자재,중견건설사,82.4,75,1750,1044,6.16,300,0.72,471,1,1133,2.51,1245,12.8,521,14.6,586,154.97,80,165.49,113,
A001450,현대해상,금융,손해보험,82.35,76,23512,120,3.34,105,0.16,30,0.11,541,0.54,81,4.61,89,3.13,39,-9.46,985,-1.86,644,
A091090,세원이앤씨,제약 및 바이오,바이오,82.34,77,1560,1153,9.46,508,1.8,1026,0.44,961,0.89,341,10.73,407,-11.16,1369,324.8,13,609.87,30,
A023350,한국종합기술,건설 및 건축자재,중견건설사,82.24,78,1177,1398,3.83,131,0.54,319,0.14,633,0.85,301,19.53,768,26.63,873,29.72,422,242.08,77,
A005750,대림B&CO,건설 및 건축자재,위생도기,81.97,79,1557,1155,6.45,321,0.66,417,0.82,1100,0.98,401,103.52,1282,46.23,1051,178.67,64,853.5,22,
A016590,신대양제지,종이 및 용기,종이,81.96,80,3546,567,5.1,218,0.55,328,0.29,856,0.73,213,4.64,92,4.02,66,18.35,513,-7.16,703,
A052400,코나아이,전기 및 전자기기,스마트카드,81.87,81,7461,291,1.32,18,4.84,1574,0.06,373,7.13,1866,22.09,838,21.18,776,188.82,57,541.25,34,
A101930,인화정공,조선,조선기자재,81.85,82,1264,1340,13.22,692,1.38,855,0,1328,0.72,207,2.46,17,212.08,1297,224.45,35,350.28,58,
A014530,극동유화,석유 및 가스,윤활유,81.69,83,1742,1047,11.3,607,0.25,79,-0.65,1328,1.02,430,11.56,462,9.48,360,84.88,188,23.91,392,
A081580,성우전자,IT 장비 및 소재,스마트폰 부품,81.67,84,535,1911,4.86,193,0.42,224,0.07,416,0.54,81,59.44,1195,-14.02,1369,132.39,106,157.91,117,
A006380,카프로,섬유 및 의류,섬유,81.52,85,2180,884,-4.43,1482,0.42,224,0.19,729,1.72,878,22.49,854,22.94,813,236.15,31,436.82,46,
