코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,1개월 등락률 (%),높은순서  (비중 5),3개월 등락률 (%),높은순서  (비중 5),6개월 등락률 (%),높은순서  (비중 5),9개월 등락률 (%),높은순서  (비중 5),1년 등락률 (%),높은순서  (비중 5),과거 PCR,낮은순서(값>0)  (비중 5),과거 PFCR,낮은순서(값>0)  (비중 5),발표 PSR,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),과거 EV/EBITDA (%),낮은순서(값>0)  (비중 5),발표 POR,낮은순서(값>0)  (비중 5),
A142210,유니트론텍,반도체 관련장비 및 부품,반도체 유통,53.97,1286,-0.8,2011,12.6,720,-5,1696,33.2,791,1.5,1274,-3.86,1606,-3.83,1319,0.28,274,1.58,1183,176.33,1378,10.59,764,9.16,451,
A215380,우정바이오,제약 및 바이오,바이오,53.96,1287,64.7,47,3.3,1122,67.3,236,51.9,548,127.8,157,-28.91,1606,-28.64,1319,4.2,1800,8.26,2074,-4.56,1460,471.01,1643,-52.34,1458,
A010820,퍼스텍,기계,방위산업,53.96,1287,7.3,1191,-2.1,1570,-3.8,1647,12.9,1248,3.4,1214,4.61,383,4.61,225,0.71,763,3.34,1767,7.31,343,0,1661,-514.5,1458,
A040910,아이씨디,디스플레이 장비 및 부품,디스플레이 장비,53.95,1289,9.8,962,-1.6,1544,-0.3,1502,-8.7,1934,-15.8,1849,-28.02,1606,-27.36,1319,0.95,967,1.51,1149,3.31,83,6.08,395,4.68,162,
A045660,에이텍,가정용품,가전제품,53.95,1289,-0.3,1984,-22.6,2156,132.4,75,223.7,57,221.3,65,23.75,1190,23.85,886,2.34,1531,3.22,1747,69.25,1258,38.45,1376,38.39,1147,
A001550,조비,화학,비료 및 농약,53.94,1291,11.5,823,-22,2144,12.5,949,51.8,549,23.2,808,15.22,1006,15.23,708,1.35,1196,2.14,1472,-24.8,1460,37.65,1368,25.13,993,
A003620,쌍용차,자동차 및 관련부품,완성차,53.94,1291,-12.1,2195,5.9,988,100.8,120,105.6,221,84.5,302,-1.57,1606,-1.17,1319,0.19,136,5.91,2010,-1.41,1460,0,1661,-1.42,1458,
A012160,영흥,철강 및 비철강,선재(와이어),53.93,1293,8.1,1120,11.8,759,0.8,1310,34.1,773,11.4,1030,-6.37,1606,-3.32,1319,0.55,593,0.71,520,-5.79,1460,89.97,1529,-7.49,1458,
A271560,오리온,식음료,식료품,53.92,1294,9.2,1024,-14.7,2027,-9.2,1827,25.3,945,15.6,942,11.59,838,17.7,779,2.12,1473,2.56,1604,15.32,748,8.99,656,12.04,617,
A106520,디지탈옵틱,IT 장비 및 소재,카메라모듈,53.87,1295,22.2,324,54.5,134,46.5,370,39.5,694,8.5,1089,-8.32,1606,-6.13,1319,2.33,1527,3.84,1851,-4.61,1460,0,1661,-5.49,1458,
A000440,중앙에너비스,석유 및 가스,석유판매,53.86,1296,19.2,414,17.1,567,-1.1,1543,-10,1967,30.6,701,25.09,1203,33.18,973,0.99,994,1.27,1003,-564,1460,27.95,1282,188,1387,
A006920,모헨즈,건설 및 건축자재,시멘트 및 레미콘,53.84,1297,18,457,18,540,8.3,1082,15,1203,1.7,1265,-9.44,1606,-8.23,1319,0.71,763,2.38,1547,-257.21,1460,13.78,924,107,1333,
A060560,홈센타홀딩스,지주사,지주사,53.81,1298,-0.4,1994,-6.9,1795,4.7,1186,4.3,1480,-12.2,1753,4.9,406,6.45,349,0.39,417,1.32,1030,-20.78,1460,9.8,712,21.18,925,
A220100,퓨쳐켐,제약 및 바이오,제약,53.8,1299,22.5,316,45.9,172,83.6,164,65.4,430,35.3,642,-45.35,1606,-24.88,1319,18.6,2079,51.44,2204,-19.83,1460,0,1661,-36.1,1458,
A128940,한미약품,제약 및 바이오,제약,53.8,1299,36.6,131,16,604,37.6,466,34.5,764,12.8,996,34.84,1326,-3859.73,1319,3.85,1758,6.04,2017,-34.41,1460,32.91,1330,114.75,1340,
A065510,휴비츠,의료기기 및 용품,의료기기,53.79,1301,6,1336,11.3,781,-4.9,1693,-18.4,2087,-11.3,1738,16.14,1025,61.21,1115,1.21,1129,1.12,908,6.17,265,11.28,816,12.07,620,
A002760,보락,식음료,식료품,53.77,1302,20.6,368,22.1,428,29,580,41.3,668,27.5,750,75.48,1470,74.14,1150,4.02,1781,3.55,1803,-38925,1460,407.27,1639,389.25,1421,
A089890,코세스,반도체 관련장비 및 부품,반도체장비,53.76,1303,11.4,830,-5,1707,19.5,767,22,1024,4.7,1178,87.08,1487,89.43,1180,2,1440,3.71,1830,4.71,165,26.35,1268,12.52,643,
A036000,예림당,운송 및 물류,항공운송,53.75,1304,14,669,14,672,3.3,1217,4.6,1470,-19.4,1935,54.37,1415,-1.93,1319,0.16,108,0.51,273,-1.82,1460,88.68,1526,-0.54,1458,
A226400,오스테오닉,의료기기 및 용품,의료기기,53.68,1305,20.7,363,7.8,897,11.3,983,37.9,718,46.9,535,136.45,1527,138.33,1226,3.58,1722,1.45,1105,-29.81,1460,438.89,1641,138.33,1364,
A222080,씨아이에스,IT 장비 및 소재,2차전지,53.67,1306,7.8,1145,-21.4,2133,26.5,619,68.4,402,176.9,104,10.87,800,10.87,555,4.43,1816,7.95,2069,-135.52,1460,32.67,1329,34.14,1110,
A018310,삼목에스폼,건설 및 건축자재,거푸집,53.67,1307,1.7,1738,3.8,1093,-5.3,1709,10.9,1296,-13.6,1785,3.18,228,3.17,119,0.87,904,0.33,92,-4.9,1460,0,1661,-17.76,1458,
A047310,파워로직스,IT 장비 및 소재,카메라모듈,53.62,1308,12.1,786,20.5,473,10,1023,-2.8,1784,-11.6,1746,-51.93,1606,-6.72,1319,0.32,328,1.32,1030,222.07,1396,8.31,605,-29.99,1458,
A039830,오로라,유아동산업,유아동산업,53.59,1309,5.7,1366,2.2,1204,-9.1,1823,-16.9,2070,-26.6,2056,10.91,806,12.95,633,0.71,763,0.89,699,5.28,204,15.39,992,22.36,947,
A126340,비나텍,전기 및 전자기기,케이블,53.56,1310,16.6,519,4.3,1063,121.8,89,241.9,50,228.2,59,0,1606,0,1319,0,2159,11.34,2127,0,1460,0,1661,0,1458,
A017800,현대엘리베이,기계,기계,53.53,1311,7.4,1181,-4.4,1677,-10.6,1868,9.7,1334,-13.9,1792,12.51,894,25.72,909,0.89,921,1.82,1331,8.29,422,9.38,687,10.96,561,
A003410,쌍용양회,건설 및 건축자재,시멘트 및 레미콘,53.53,1311,0,1856,-8.9,1867,2.8,1239,12.3,1269,1.1,1285,7.86,626,11.44,574,1.91,1408,1.58,1183,30.58,1051,8.71,639,11.41,580,
A033200,모아텍,전기 및 전자기기,전자기기,53.43,1313,-19,2221,77.5,68,84.6,160,100.9,232,102.9,225,-3714.08,1606,-661.5,1319,5.33,1876,1.81,1317,-104.01,1460,0,1661,-41.34,1458,
A004310,현대약품,제약 및 바이오,제약,53.42,1314,8.9,1047,-1.1,1512,27.3,609,45.5,620,22,828,22.07,1161,22.06,864,1.58,1285,2.39,1552,-56.36,1460,45.96,1426,57.61,1241,
A272290,이녹스첨단소재,IT 장비 및 소재,스마트폰 부품,53.39,1315,2.2,1704,-11.7,1954,9.9,1027,4.6,1470,-5.9,1592,11.53,835,20.71,837,1.27,1163,2.18,1480,8.66,444,8.41,612,9.97,495,
A000760,이화산업,섬유 및 의류,염료,53.38,1316,2.4,1680,4.5,1052,15.6,867,5.9,1430,-1.3,1474,11.69,843,12.47,616,0.85,883,0.43,190,-5.9,1460,0,1661,-14.13,1458,
A225570,넷게임즈,미디어 및 엔터,게임,53.35,1317,14.9,612,-3.5,1643,15.6,867,18.5,1116,8.7,1084,41.48,1361,41.62,1037,3.08,1655,5.38,1981,7.58,369,35.94,1348,10.81,549,
A036120,SCI평가정보,일반서비스,신용정보,53.32,1318,-6.5,2154,-6.1,1754,38,459,93.1,263,83.5,307,20.02,1122,23.57,881,3.24,1679,6.62,2043,50.75,1205,12.59,877,19.73,887,
A018120,진로발효,식음료,음료,53.26,1319,1.6,1742,1,1280,2,1262,3.5,1513,0.8,1295,13.53,937,16.74,753,1.94,1420,2.56,1604,15.49,754,7.96,572,10.23,514,
A189300,인텔리안테크,통신,통신장비,53.2,1320,13,724,17.9,541,34.6,507,10.9,1296,3.8,1203,15.3,1009,91.44,1182,2.22,1499,2.94,1692,-41.57,1460,21.74,1173,154.31,1374,
A096040,이트론,전기 및 전자기기,전자기기,53.19,1321,4.8,1456,75.8,71,61.7,266,64.5,439,22.5,822,-13.92,1606,-13.93,1319,3.05,1649,2.1,1455,-32.88,1460,0,1661,-98.9,1458,
A096610,알에프세미,IT 장비 및 소재,스마트폰 부품,53.18,1322,11.8,807,22.8,410,29.7,570,15.7,1192,14.2,970,-51.74,1606,-24.26,1319,1.65,1308,1.31,1024,-3.6,1460,99.67,1541,-6,1458,
A001740,SK네트웍스,석유 및 가스,석유판매,53.15,1323,6.2,1313,-6.1,1754,-12.6,1928,10.2,1318,-15.8,1849,44.68,1377,-7.29,1319,0.11,50,0.56,347,55.92,1224,5.48,323,18.82,869,
A003800,에이스침대,가정용품,가구,53.1,1324,0.5,1818,-2.4,1591,-10.7,1873,-7.6,1912,15.9,936,9.42,719,120.49,1216,1.55,1270,0.91,712,12.68,653,7.33,520,9.33,465,
A000100,유한양행,제약 및 바이오,제약,53.05,1325,8.2,1109,-3.4,1639,24.3,661,44.7,625,55.7,451,31.52,1290,43.85,1052,2.77,1618,2.37,1542,35.41,1102,35.17,1345,65.63,1264,
A091970,나노캠텍,디스플레이 장비 및 부품,디스플레이 부품,53.05,1325,13.6,695,-7,1802,4.4,1194,-11.1,1982,-13,1769,9.52,725,15.61,722,1.3,1178,0.96,760,99.65,1315,7.15,498,29.58,1058,
A000890,보해양조,식음료,음료,53.01,1327,15.9,556,11.7,765,8.8,1066,3.7,1506,-4.6,1559,10.43,776,14.83,690,1.57,1281,1.49,1133,68.78,1257,0,1661,-11.05,1458,
A093320,케이아이엔엑스,IT서비스,인터넷서비스,52.98,1328,-11,2187,-14.1,2012,24.3,661,62.1,457,93.1,262,13.51,936,23.62,883,5.11,1868,3.34,1767,27.51,1006,10.76,776,20.25,899,
A205470,휴마시스,의료기기 및 용품,의료기기,52.97,1329,1,1781,-25.3,2181,192.9,34,687,5,601.4,8,46.42,1390,174.37,1248,13.25,2044,9.36,2095,11.24,584,28.26,1286,30.12,1062,
A065710,서호전기,운송 및 물류,운송인프라,52.95,1330,2.8,1646,0.7,1306,9.3,1050,-3.2,1797,0.9,1290,12.68,905,-230.2,1319,1.78,1362,1.55,1168,30.26,1046,6.28,421,8.59,413,
A189980,흥국에프엔비,식음료,음료,52.95,1330,10,935,-10.6,1919,-14.5,1978,12.6,1258,-9.1,1686,7.62,614,307.5,1285,1.22,1134,0.93,734,12.88,656,7.89,567,22.78,957,
A000850,화천기공,기계,공작기계,52.9,1332,4.9,1443,4.2,1067,-2.6,1598,-6.3,1878,-16.1,1862,5.76,483,6.27,339,0.42,457,0.24,28,-25.32,1460,0,1661,-50.14,1458,
A215480,토박스코리아,섬유 및 의류,의류,52.89,1333,32.2,164,33.8,261,6.4,1136,14.1,1222,-7.9,1655,14.82,980,14.79,686,2.11,1467,2.49,1588,-156.11,1460,0,1661,-140.5,1458,
A071850,캐스텍코리아,자동차 및 관련부품,기타 자동차부품,52.81,1334,-10.6,2184,0,1345,12.6,946,12.6,1258,5.8,1158,11.05,817,-12.03,1319,0.32,328,0.41,164,-4.53,1460,31.93,1320,-4.5,1458,
A260660,알리코제약,제약 및 바이오,제약,52.79,1335,9.1,1031,-14.8,2030,-8.7,1812,9.5,1342,-2.7,1517,23.58,1187,23,876,0.99,994,1.69,1256,12.98,660,8.28,599,9.27,458,
A234690,녹십자웰빙,제약 및 바이오,바이오,52.78,1336,9.1,1031,20.1,484,25.6,632,52.6,539,41.2,580,-58.87,1606,-58.12,1319,4.46,1819,2.89,1681,50.23,1204,123.64,1568,81.37,1301,
A215360,우리산업,자동차 및 관련부품,공조부품,52.76,1337,7.8,1145,-7.5,1824,-9.1,1823,-21.7,2114,-5,1576,8.53,669,10.16,516,0.57,614,1.41,1085,21.79,908,9.42,690,16.52,806,
A032680,소프트센,IT서비스,시스템서비스,52.75,1338,20.7,363,11.3,781,-6.1,1736,16.8,1165,-20.1,1948,4.7,392,4.7,235,1.07,1046,2.66,1629,-17.83,1460,0,1661,132.33,1355,
A211270,AP위성,통신,통신장비,52.72,1339,2.8,1646,1.7,1240,-3.3,1625,2,1551,9.9,1059,11.74,847,11.81,583,2.21,1498,1.29,1016,-553.65,1460,7.32,517,14.56,737,
A010130,고려아연,철강 및 비철강,아연,52.72,1340,-0.9,2017,-6.1,1754,-1.9,1572,-7.7,1916,-7.4,1640,10.25,766,48.16,1078,1.01,1006,1.03,818,10.64,552,4.63,237,8.8,424,
A294870,HDC현대산업개발,건설 및 건축자재,대형건설사,52.7,1341,1.3,1765,-18.7,2091,-5.4,1715,16.9,1158,-20.9,1966,-4.61,1606,-4.55,1319,0.35,369,0.5,264,-4.41,1460,1.25,36,2.29,35,
A053060,세동,자동차 및 관련부품,기타 자동차부품,52.69,1342,10,935,31.8,283,41.4,419,14.4,1218,3.7,1205,-9.89,1606,-4.33,1319,0.17,117,10.05,2107,-3.77,1460,0,1661,-2.55,1458,
A036540,SFA반도체,반도체 관련장비 및 부품,반도체장비,52.68,1343,8.4,1088,2.3,1195,-3.4,1630,-7.5,1910,45.8,545,10.91,806,19.57,823,1.47,1246,2.56,1604,49.51,1201,10.78,779,23.25,963,
A048770,TPC,전기 및 전자기기,전자기기,52.64,1344,3.4,1597,7.5,913,17.3,821,14.1,1222,-6.2,1605,26.07,1218,41.46,1036,0.54,582,1.91,1370,73.63,1269,22.54,1200,23.43,966,
A137940,넥스트아이,디스플레이 장비 및 부품,디스플레이 장비,52.63,1345,-2.8,2082,22.1,428,27.9,593,56.9,494,40.6,589,17.32,1062,113.42,1209,2.51,1567,1.78,1304,-23.64,1460,114.33,1556,-16.8,1458,
A000970,한국주철관,철강 및 비철강,강관,52.63,1346,5.3,1396,-7,1802,-10.6,1868,-8.7,1934,-15.7,1845,12.86,914,15.83,729,0.45,489,0.71,520,26.79,993,6.89,473,17.57,840,
A204620,글로벌텍스프리,레저산업,레저,52.62,1347,13.8,680,12.7,717,5.6,1159,-5.9,1870,-10.5,1719,6.78,558,6.96,380,4.38,1812,1.47,1122,-64.29,1460,12.34,870,-18.87,1458,
A290380,대유,화학,비료 및 농약,52.61,1348,11.1,850,5.1,1029,-4.9,1693,26.2,913,7.6,1107,25.26,1207,25.46,904,3.67,1739,1.91,1370,38.82,1130,12.62,883,24.44,981,
A284740,쿠쿠홈시스,가정용품,가전제품,52.6,1349,2.2,1704,-4.4,1677,0,1350,1,1575,-11.6,1746,30.89,1282,30.9,951,1.15,1089,1.82,1331,12.12,625,3.93,193,6.4,286,
A091440,텔레필드,통신,통신장비,52.59,1350,7.4,1181,-14.6,2024,-29.5,2187,-13,2019,4.2,1191,3.34,242,3.45,139,0.67,724,1.35,1052,-4.73,1460,5.31,305,76.75,1289,
A005810,풍산홀딩스,지주사,지주사,52.57,1351,7.1,1217,12.5,723,-2.1,1578,-9.4,1954,-17.2,1881,-10.36,1606,-3.93,1319,0.89,921,0.31,75,6.17,265,27.31,1277,25.42,1000,
A220260,켐트로스,IT 장비 및 소재,2차전지,52.56,1352,9.1,1031,-27.5,2192,79.2,183,113.9,194,94.7,260,34.34,1321,35,994,3.57,1721,3.39,1775,41.13,1150,145,1587,308,1412,
A094170,동운아나텍,IT 장비 및 소재,카메라모듈,52.55,1353,4,1533,103.8,37,55.3,308,51.1,557,34.6,652,-20.48,1606,-19.87,1319,2.65,1596,5.32,1974,37.64,1122,0,1661,-32.13,1458,
A002100,경농,화학,비료 및 농약,52.55,1353,10.5,899,-20.2,2118,-1.2,1548,37.9,718,12.4,1010,16.37,1032,20.18,833,1.13,1082,1.4,1077,-14.33,1460,21.69,1170,19.19,876,
A126560,현대퓨처넷,미디어 및 엔터,미디어,52.52,1355,5.1,1420,-12.1,1966,-25.4,2157,0.2,1596,-9,1684,5.12,424,6.59,359,1.29,1175,0.49,255,12.23,630,0,1661,10.13,502,
A206650,유바이오로직스,제약 및 바이오,바이오,52.48,1357,20.6,368,-10.6,1919,195.2,31,244,49,206.3,78,57.99,1425,57.97,1107,28.07,2102,-26.39,2224,-2.87,1460,226.55,1619,-274.23,1458,
A044820,코스맥스비티아이,식음료,식료품,52.48,1356,0.9,1795,-18.7,2091,-4,1658,39.7,692,25.6,765,22.96,1179,-6.91,1319,0.29,289,0.51,273,30.45,1049,26.92,1271,-100.25,1458,
A025870,신라에스지,식음료,식료품,52.47,1358,5.3,1396,1.6,1244,-7.6,1775,8.3,1371,-4,1543,4.06,322,4.29,201,0.51,550,2.53,1598,-19.82,1460,20.1,1131,60,1251,
A044340,위닉스,가정용품,가전제품,52.46,1359,3.8,1561,6.8,941,-10.9,1886,-11.9,1997,-15.7,1845,8.25,654,-28.19,1319,0.98,989,1.88,1354,5.17,194,10.51,760,7.3,344,
A259630,엠플러스,IT 장비 및 소재,2차전지,52.43,1361,2.7,1657,3.5,1109,29.6,572,13.8,1228,62.6,407,-36.55,1606,-8.65,1319,1.08,1056,3.4,1777,11.55,603,53.93,1454,30.2,1065,
A065570,삼영이엔씨,조선,조선기자재,52.43,1360,11.1,850,-9.4,1887,22.6,693,22,1024,25.3,772,16.61,1043,34.16,988,1.73,1349,0.86,667,8112.5,1459,0,1661,-19.09,1458,
A900300,오가닉티코스메틱,가정용품,화장품,52.41,1362,-15.5,2206,-5.9,1745,-40.9,2219,-40.4,2204,-53.8,2201,0.68,12,0.71,9,0.15,93,0.15,7,-6.29,1460,0,1661,2.41,39,
A161890,한국콜마,가정용품,화장품,52.37,1363,2.2,1704,-2.9,1614,-3.9,1654,8.7,1360,-4.8,1570,8.07,638,32.9,972,0.69,737,2.06,1440,20.55,879,11.88,847,9.17,452,
A007310,오뚜기,식음료,식료품,52.36,1364,4.5,1486,-6.7,1782,-2.6,1598,13.2,1239,0,1313,11.04,816,-196.31,1319,0.8,844,1.52,1155,54.65,1217,7.73,555,10.71,544,
A035720,카카오,IT서비스,인터넷서비스,52.32,1365,11.5,823,-10.7,1921,46.6,367,110.3,205,135.1,144,43.66,1374,49.93,1081,8.62,1987,5.3,1973,63.69,1245,54.06,1455,84.21,1304,
A059120,아진엑스텍,기계,산업용 로봇,52.3,1366,-0.9,2017,-7.6,1825,17,829,16.9,1158,19.1,886,15.81,1016,15.59,720,2.38,1539,1.22,977,83.86,1290,10.68,772,18.28,855,
A032960,동일기연,IT 장비 및 소재,IT 소재 및 부품,52.29,1367,0,1856,16.3,594,1.9,1267,-2.7,1780,-8.1,1661,34.87,1327,46.88,1071,1.5,1252,0.71,520,8.17,414,9.38,687,-125,1458,
A117730,티로보틱스,기계,산업용 로봇,52.28,1368,-7.4,2163,12,751,44.4,388,62,459,13.4,984,-15.39,1606,-4.86,1319,1.12,1074,2.41,1559,26.88,996,179.34,1602,24.8,987,
A049950,미래컴퍼니,디스플레이 장비 및 부품,디스플레이 장비,52.27,1369,15.5,575,61.8,106,23.4,675,49.5,574,25.6,765,-28.92,1606,-27.62,1319,6.88,1940,3.25,1753,-20.93,1460,0,1661,-20.8,1458,
A036580,팜스코,식음료,사료,52.24,1370,-0.3,1984,-10,1903,-34.1,2204,21.9,1029,0.5,1301,31.88,1294,-6.83,1319,0.13,74,0.55,329,6021.43,1457,9.66,704,6.56,300,
A128540,에코캡,자동차 및 관련부품,전장부품,52.24,1370,10,935,-2.5,1597,24,665,14.8,1208,14.3,966,43.55,1372,-3.6,1319,0.69,737,0.71,520,-3.28,1460,0,1661,-8.76,1458,
A224060,코디엠,반도체 관련장비 및 부품,반도체장비,52.21,1372,21.5,343,67.6,93,12.5,949,5.7,1440,-21.5,1977,-20.46,1606,-10.83,1319,4.28,1805,1.6,1202,2.7,53,0,1661,-21.06,1458,
A900290,GRT,디스플레이 장비 및 부품,디스플레이 부품,52.21,1372,0,1856,-38,2231,-44.2,2231,-54.5,2224,-59.6,2209,0.77,15,-0.6,1319,0.19,136,0.12,2,1.69,20,0,1661,0.94,2,
A052460,아이크래프트,통신,통신장비,52.21,1374,17.5,483,7.3,920,-4.8,1688,47.1,598,59.9,424,-117.5,1606,-109.5,1319,0.82,854,2.41,1559,-41.37,1460,98.3,1538,-328.5,1458,
A092130,이크레더블,일반서비스,신용정보,52.2,1375,1.5,1746,1.9,1225,17.9,802,33.3,789,32.6,678,18.63,1091,20.13,832,6.73,1937,5.03,1952,45.98,1181,12.41,872,16.51,805,
A004100,태양금속,자동차 및 관련부품,선재(볼트),52.17,1376,10.2,920,5.4,1014,-13.3,1946,-12.9,2015,-8.1,1661,-3.8,1606,-2.11,1319,0.1,39,0.5,264,1.23,13,0,1661,-3.19,1458,
A187790,나노,화학,기타 화학,52.15,1377,15.6,570,22.2,425,-6.5,1751,-9.3,1950,-20.5,1960,7.74,621,14.48,680,0.66,706,0.87,680,-5.73,1460,0,1661,-4.89,1458,
A066980,브레인콘텐츠,IT 장비 및 소재,스마트폰 부품,52.15,1377,10.3,913,-1.1,1512,-25.4,2157,-10.2,1973,-21.6,1980,4.34,351,4.56,218,1.15,1089,0.92,721,-13.57,1460,2.51,90,-16.06,1458,
A096690,에이루트,전기 및 전자기기,전기장비,52.14,1379,34.6,142,40,202,16.1,856,17.3,1151,-27.9,2068,-7.74,1606,-5.78,1319,2.22,1499,0.84,648,-7.39,1460,80.9,1516,-39.6,1458,
A079000,와토스코리아,건설 및 건축자재,위생도기,52.14,1379,3.4,1597,3.4,1115,10.4,1011,9.6,1339,-2.8,1521,9.81,743,9.88,508,2.14,1479,0.52,287,87.39,1296,129.82,1571,-79,1458,
A263750,펄어비스,미디어 및 엔터,게임,52.12,1381,3.3,1603,13.3,693,0,1350,16.9,1158,9.2,1075,13.46,935,17.75,781,5.37,1879,3.87,1854,24.39,949,12.55,874,15.77,778,
A138070,신진에스엠,기계,기계,52.07,1382,0.3,1835,-5.7,1736,2.5,1247,-6.4,1884,-16,1856,5.68,477,7.57,413,0.85,883,0.59,379,-14.69,1460,8.3,604,40.9,1167,
A004380,삼익THK,기계,자동화기기,52.07,1382,9.4,1003,10.4,814,-7.5,1770,-10.5,1977,0,1313,10.59,781,10.6,540,0.89,921,1.24,987,493.86,1436,36.84,1360,28.08,1039,
A005360,모나미,가정용품,개인용품,52.06,1384,-4.7,2128,-16.6,2058,18,798,105,222,80.4,318,19.96,1121,55.33,1103,0.9,931,1.67,1244,221.76,1395,28.15,1283,116.2,1343,
A018260,삼성에스디에스,IT서비스,시스템서비스,51.98,1385,2.7,1657,7.1,930,-6.2,1742,3,1523,-13.1,1771,12.45,889,16.4,744,1.24,1150,2.02,1422,21.27,895,7.18,501,14.65,739,
A039130,하나투어,레저산업,여행,51.98,1386,37.2,125,32.1,278,23.3,679,26.1,916,9.5,1068,-8.41,1606,-4.04,1319,2.52,1569,3.66,1825,-6.68,1460,0,1661,-6.29,1458,
A100220,비상교육,일반서비스,교육,51.98,1387,4.2,1513,-8.2,1846,-12.6,1928,-29.1,2163,-13.7,1787,4.36,355,11.05,565,0.45,489,0.46,222,-5.7,1460,3.77,179,-23.94,1458,
A009160,SIMPAC,기계,기계,51.97,1388,8.4,1088,3.8,1093,-9.9,1847,-7,1893,-18.7,1912,11.9,855,-17.65,1319,0.45,489,0.37,122,-155.62,1460,8.56,622,66.92,1267,
A066410,버킷스튜디오,미디어 및 엔터,미디어,51.96,1389,12.5,752,31.4,288,19.6,766,56.9,494,6.3,1143,129.42,1522,163.8,1243,4.55,1825,2.01,1415,-12.48,1460,180.37,1604,0,1458,
A079810,디이엔티,디스플레이 장비 및 부품,디스플레이 장비,51.88,1390,15.6,570,-5,1707,64.1,251,152.3,114,208.1,76,-77.42,1606,-19.76,1319,4.66,1830,9,2089,95.18,1308,0,1661,-18.58,1458,
A122870,와이지엔터테인먼트,미디어 및 엔터,매니지먼트,51.87,1391,13.2,717,-12.7,1988,46.5,370,41.7,662,76.6,342,26.2,1220,-93.77,1319,3.41,1703,2.37,1542,200,1387,40.42,1390,130.06,1352,
A003920,남양유업,식음료,음료,51.84,1392,12.7,740,6.1,974,-8,1792,-24.5,2133,-36.5,2138,-4.69,1606,-1.72,1319,0.21,170,0.24,28,-7.06,1460,3.78,182,-4.34,1458,
A020760,일진디스플,디스플레이 장비 및 부품,디스플레이 부품,51.8,1393,18.2,446,31.5,287,39.9,434,4.2,1488,38.8,609,-5.43,1606,-4.39,1319,1.69,1323,4.65,1918,-4.14,1460,0,1661,-4.2,1458,
A228850,레이언스,의료기기 및 용품,의료기기,51.76,1394,5.6,1372,-0.4,1475,-6.3,1744,-6.6,1886,-4.7,1564,10.88,802,11.81,583,1.75,1356,0.95,747,-156.02,1460,4.33,217,16.66,814,
A265520,AP시스템,디스플레이 장비 및 부품,디스플레이 장비,51.73,1395,12.9,729,2.6,1169,-10.8,1882,-16.7,2066,-16.1,1862,74.05,1468,81.55,1170,0.59,634,2.48,1582,7.49,359,10.17,740,7.61,365,
A131370,알서포트,IT서비스,소프트웨어,51.72,1397,12.1,786,-20.4,2121,151.7,58,288,34,477.7,14,722.88,1593,-67.13,1319,18.34,2078,14.03,2155,54.9,1220,49.14,1439,48.93,1213,
A104480,티케이케미칼,섬유 및 의류,섬유,51.72,1396,25.5,258,10.9,802,-9.1,1823,-2.8,1784,-1.4,1477,-31.23,1606,-9.9,1319,0.42,457,0.69,503,20.68,881,0,1661,-7.14,1458,
A269620,시스웍,반도체 관련장비 및 부품,반도체장비,51.7,1398,9.4,1003,-17.2,2067,262.5,16,323,27,293.2,35,67.64,1448,78.75,1164,11.31,2026,5.73,1999,73.21,1268,189.49,1607,157.5,1375,
A043290,케이맥,디스플레이 장비 및 부품,디스플레이 장비,51.69,1399,26.9,233,20.6,470,4.9,1179,-23.5,2124,-19.2,1925,-3.56,1606,-3.47,1319,0.74,791,1.45,1105,4.74,166,0,1661,-210.67,1458,
A068240,다원시스,기계,전력기자재,51.67,1400,0.5,1818,-10.4,1914,25,642,27.3,898,37.7,621,5.51,462,21.72,859,2.24,1507,2.63,1625,-69.42,1460,16.85,1050,42.95,1185,
A251970,펌텍코리아,종이 및 용기,용기 및 포장재,51.65,1401,2.1,1712,-9.9,1898,-16.9,2023,4.7,1468,-28.2,2073,10.94,808,-69.15,1319,0.9,931,1.04,838,10.87,571,2.84,111,6.51,295,
A234920,자이글,가정용품,가전제품,51.64,1402,24.7,269,43.9,179,9.2,1054,10.3,1315,-27.9,2068,-20.73,1606,-18.56,1319,2.88,1633,1.12,908,11.13,579,0,1661,-21.21,1458,
A094480,갤럭시아머니트리,IT서비스,전자결제,51.64,1403,11.8,807,-15.2,2033,8.4,1078,31.8,823,30,711,-10.8,1606,-10.62,1319,1.8,1371,1.61,1206,33.43,1085,21.74,1173,17.49,838,
A149950,아바텍,디스플레이 장비 및 부품,디스플레이 장비,51.63,1404,1.8,1731,3.6,1103,9.8,1036,20.2,1071,4.8,1177,39.21,1352,261.6,1275,1.74,1353,0.95,747,16.59,783,30.86,1309,34.42,1114,
A047920,에이치엘비제약,제약 및 바이오,제약,51.62,1406,-4.9,2131,37.6,226,182.7,41,247.1,46,204.9,79,-1042.47,1606,-262.75,1319,8,1967,35.15,2199,-8.83,1460,132.64,1574,262.75,1406,
A299660,셀리드,제약 및 바이오,바이오,51.62,1405,5.4,1387,24.4,384,95.6,133,151.9,115,89.1,275,-143.55,1606,-37.94,1319,0,2159,9.39,2096,-98.08,1460,0,1661,-112,1458,
