코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,1개월 등락률 (%),높은순서  (비중 5),3개월 등락률 (%),높은순서  (비중 5),6개월 등락률 (%),높은순서  (비중 5),9개월 등락률 (%),높은순서  (비중 5),1년 등락률 (%),높은순서  (비중 5),과거 PCR,낮은순서(값>0)  (비중 5),과거 PFCR,낮은순서(값>0)  (비중 5),발표 PSR,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),과거 EV/EBITDA (%),낮은순서(값>0)  (비중 5),발표 POR,낮은순서(값>0)  (비중 5),
A004540,깨끗한나라,종이 및 용기,종이,84.07,68,12.1,786,-8,1841,24.8,650,52,546,115.1,185,2.38,137,2.79,99,0.3,306,0.94,743,7.56,363,4.51,231,3.19,75,
A123040,엠에스오토텍,자동차 및 관련부품,차체부품,84.03,69,68.1,40,82.3,61,64.8,248,75.3,355,97.7,243,2.85,192,5.96,325,0.3,306,2.81,1664,-11.93,1460,7.67,546,10.52,532,
A049800,우진플라임,기계,기계,83.95,70,16.1,549,36.5,237,37.1,473,21.5,1040,29.5,717,1.9,92,1.99,55,0.23,208,0.84,648,11.23,583,13.47,911,9.59,479,
A002020,코오롱,지주사,지주사,83.63,71,4.9,1443,-7,1802,15.5,870,54,524,17.4,910,0.68,12,0.73,10,0.06,10,0.38,126,3.05,76,5.03,282,1.19,6,
A002030,아세아,지주사,지주사,83.61,72,15.3,585,22.1,428,13.3,931,-5,1846,-13.7,1787,0.88,21,1.53,34,0.13,74,0.25,31,5.26,201,3.03,122,1.45,15,
A103140,풍산,철강 및 비철강,구리,83.61,73,12.1,786,16.1,602,23.4,675,32.4,808,27.7,746,3.05,212,4.12,190,0.31,318,0.54,314,5.75,237,10.22,744,9.09,445,
A001940,KISCO홀딩스,지주사,지주사,83.57,74,20.7,363,19.7,498,12.4,956,28.4,873,8.1,1099,1.23,44,1.49,30,0.24,222,0.3,67,4.97,178,0,1661,3.58,95,
A038950,파인디지털,자동차 및 관련부품,전장부품,83.57,75,8.4,1088,8.4,873,13.7,921,71.3,384,49.9,504,4.43,361,4.58,221,0.58,626,0.68,487,2.94,65,1.7,49,10.15,508,
A007690,국도화학,화학,합성수지,83.42,76,17,508,28,326,25.8,629,26.4,909,10.4,1048,4.07,324,10.71,543,0.25,238,0.55,329,9.9,514,6.74,467,6.41,288,
A000390,삼화페인트,건설 및 건축자재,페인트,83.38,77,50.7,74,42.1,190,37.1,473,55.9,506,47.2,531,6.33,520,12.01,593,0.36,380,0.69,503,16.56,780,11.3,818,15.2,766,
A126600,코프라,자동차 및 관련부품,차량 내장재,83.27,78,10.5,899,19.9,493,24.4,658,31.6,828,26.2,757,3.27,236,3.43,137,0.58,626,0.77,580,5.23,198,5.43,313,8.98,436,
A014940,오리엔탈정공,조선,조선기자재,83.18,79,31,175,4.8,1041,91.2,143,259.4,41,210.4,73,9.3,710,10.03,512,0.71,763,2.52,1595,6.33,277,9.01,659,5.24,195,
A004960,한신공영,건설 및 건축자재,중견건설사,83.15,80,12.1,786,1,1280,6.1,1146,10.4,1314,1.4,1277,1.76,82,1.8,49,0.11,50,0.31,75,2.94,65,1.99,60,1.21,8,
A025540,한국단자,자동차 및 관련부품,전장부품,82.9,81,25.4,261,28.8,319,46.4,372,77.3,340,42.1,569,6.95,570,75.11,1153,0.78,830,0.81,615,8.04,400,5.19,295,10.43,529,
A058850,KTCS,IT서비스,컨택센터,82.86,82,10.9,870,10.3,819,15.1,886,20.1,1075,3.2,1218,3.14,225,3.47,140,0.11,50,0.59,379,6.74,304,0.48,13,6.39,283,
A000880,한화,지주사,지주사,82.81,83,7.3,1191,-7.4,1821,21.7,719,29.3,854,4,1197,0.42,4,0.64,6,0.04,2,0.39,138,2.96,70,4.87,262,1.25,11,
A016710,대성홀딩스,지주사,지주사,82.67,84,6.8,1250,47.6,168,117.8,95,201,73,211.3,72,9.58,731,-39.03,1319,0.43,468,0.86,667,4.03,129,8.77,643,13.64,695,
A013570,디와이,기계,중장비 및 관련품,82.66,85,16,553,13.3,693,8.9,1061,7.4,1397,-16.4,1868,1.5,55,2.71,93,0.16,108,0.34,95,5.12,186,2.42,82,4.08,121,
A123890,한국자산신탁,일반서비스,부동산,82.6,86,7.5,1172,5.6,1002,34.7,505,57.5,490,23.8,798,1.57,64,1.57,37,2.13,1477,0.67,469,3.5,97,3.38,150,3.11,67,
A107590,미원홀딩스,지주사,지주사,82.56,87,10.8,879,29,317,53.3,319,67.7,406,64.9,396,8.64,677,10.59,538,0.57,614,0.97,774,7.36,352,9.28,676,8.12,389,
A153490,우리이앤엘,디스플레이 장비 및 부품,디스플레이 부품,82.48,88,50.6,75,50.9,152,42.9,406,42.9,651,98.2,242,4.47,366,4.51,216,0.63,682,1.13,920,16.32,772,11.33,821,29.24,1054,
A003960,사조대림,식음료,식료품,82.48,88,19.8,396,10.3,819,1.9,1267,13,1245,-5.6,1585,2.21,115,5.29,277,0.09,29,0.43,190,2.13,30,5.83,359,2.6,45,
A010240,흥국,기계,중장비 및 관련품,82.45,90,12.4,764,29.5,308,34.3,511,60.8,468,34,659,7.51,608,18.28,792,0.66,706,0.98,786,6.15,263,4.91,268,5.8,233,
A108670,LG하우시스,건설 및 건축자재,창호,82.42,91,14.2,655,29.1,315,9.6,1043,65.4,430,32.2,683,3.5,258,161.21,1240,0.22,192,0.69,503,3.15,79,6.55,448,10.37,526,
A011370,서한,건설 및 건축자재,중견건설사,82.4,92,17.9,462,56.8,122,50.2,342,65.1,434,39.8,599,-22.38,1606,-22.32,1319,0.34,352,0.52,287,4.03,129,8.05,581,4.45,146,
A009200,무림페이퍼,종이 및 용기,종이,82.35,93,15.2,590,16.2,597,21.4,726,15.7,1192,6.9,1124,0.95,28,1.44,29,0.11,50,0.26,36,-3.11,1460,7.25,508,2.7,51,
A017960,한국카본,조선,조선기자재,82.33,94,38.3,117,34.7,255,47.9,356,60.6,472,77.2,338,7.01,576,13.2,643,1.32,1185,1.63,1218,7.6,371,7.5,536,7.12,329,
A067010,이씨에스,IT서비스,컨택센터,82.25,95,43.9,92,11.9,753,68.5,228,137,136,181.6,94,5.25,438,5.23,275,0.95,967,1.66,1236,15.11,737,9.1,666,16.23,793,
A003030,세아제강지주,지주사,지주사,81.97,96,2.8,1646,-1.7,1552,32.3,534,40.5,682,-1.6,1484,0.77,15,0.96,17,0.08,22,0.19,11,4.69,164,5.02,280,3.31,79,
A000490,대동공업,기계,농업용기계,81.87,97,3.9,1547,2.5,1178,30.9,552,49.3,577,23.2,808,1.56,63,2.54,86,0.2,153,0.49,255,10.7,557,7.71,550,5.09,185,
A007530,영신금속,자동차 및 관련부품,선재(볼트),81.77,98,36.5,133,36.1,243,70.8,214,61.8,463,56.3,448,3.9,301,4.01,182,0.33,342,0.9,704,-12.81,1460,15.15,988,29.42,1056,
A000270,기아차,자동차 및 관련부품,완성차,81.71,99,14.5,628,37,230,58.1,291,67.5,409,35.5,638,5.64,474,9,474,0.4,430,0.81,615,43.82,1160,5.92,377,17.04,825,
A003530,한화투자증권,금융,증권,81.6,100,23.2,304,15.2,637,8.4,1078,20.4,1067,6.3,1143,1.5,55,1.54,35,1.4,1215,0.38,126,2.46,42,8.64,630,6.01,246,
A058860,KTIS,통신,통신서비스,81.59,101,7.3,1191,4,1086,23.3,679,32.1,816,12.2,1012,3.28,240,3.29,129,0.2,153,0.52,287,7.58,369,6.24,413,5.39,205,
